PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF347PET;Ukraine;UP;369;1;347;North Crimea Basin;45,34;30,88;PET;gas;Persits et al., 1998;2;-9999;3;-9999;4;year 2002: presentation of projects for the exploration and development of the Odessa field;INOGATE, 2003c - Petroleum Economist, 2003;1,2
OF348PET;Ukraine;UP;369;1;348;North Crimea Basin;45,47;31,92;PET;gas;Persits et al., 1998;1;1974;1;1983;1;Golitsyno field discovered in 1974 and put intp production in 1983;NSJC Chornomornaftogaz, 2001a;1,2
OF351PET;Ukraine;UP;369;1;351;Azov-Kuban Basin;45,65;36,72;PET;oil and gas;Persits et al., 1998;4;-9999;3;-9999;4;fields under development;NSJC Chornomornaftogaz, 2001a - NSJC Chornomornaftogaz, 2001b;1,2
OF349PET;Ukraine;UP;369;1;349;Azov-Kuban Basin;45,88;35,09;PET;gas;Persits et al., 1998;1;1970;2;1981;1;Strelkovoye field put into development in 1970 and came on stream in 1981;NSJC Chornomornaftogaz, 2001a - Petroleum Economist, 2003;1,2
OF350PET;Ukraine;UP;369;1;350;Azov-Kuban Basin;46,25;35,96;PET;gas;Persits et al., 1998;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF339PET;Trinidad and Tobago;TD;52;5;339;East Venezuela Basin;10,18;-61,08;PET;gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1975;1;2002;1;Chaconia, Hibiscus and Poinsettia fields found in 1975 and Hibiscus field came on stream in 2002 - other fields are under developm;Oil & Gas Journal, 2001b - Geological Society of Trinidad and Tobago, year unknown - Petroleum Economist, 2003;1,2
OF338PET;Trinidad and Tobago;TD;52;5;338;Tobago Trough;11,26;-61,28;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1954;1;1955;1;Soldado field discovered in 1954 and production commenced in 1955;Geological Society of Trinidad and Tobago, year unknown - Kulke, 1995 - Petroleum Economist, 2003;1,2
OF269PET;Peru;PE;135;5;269;Talata Basin;-5,43;-81,17;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1955;1;1960;2;Litoral field found in 1955 - offshore production in that area since 1960;Anonymous, 2001 - World Energy Council, 2001bi - Petroleum Economist, 2003;1,2
OF267PET;Peru;PE;135;5;267;Progreso Basin;-3,43;-80,70;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;3;-9999;3;-9999;3;Albacora and Zorritos fields - no further information available;Petroleum Economist, 2003;1,2
OF268PET;Peru;PE;135;5;268;Talata Basin;-4,28;-81,30;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;1;1960;1;1960;2;Pena Negra field discovered in 1960 - offshore production in that area since 1960;Anonymous, 2001 - World Energy Council, 2001bi - Petroleum Economist, 2003;1,2
